        Frequency / MHz                RCS (square meters),Theta=theta,Phi=phi_(3)/real
----------------------------------------------------------------------
                      10                       27.505862
                      12                       26.995185
                      14                       25.276325
                      16                       23.193076
                      18                       22.598733
                      20                       23.480889
                      22                       24.432738
                      24                       25.188699
                      26                       25.743898
                      28                       25.886318
                      30                       25.497444
                      32                       24.780987
                      34                       24.239875
                      36                       24.291283
                      38                       24.840292
                      40                       25.527638
                      42                       26.105279
                      44                       26.475514
                      46                       26.636644
                      48                       26.643785
                      50                       26.558667
                      52                       26.411477
                      54                       26.213059
                      56                       25.993433
                      58                        25.81964
                      60                       25.777491
                      62                       25.918614
                      64                       26.210886
                      66                       26.552979
                      68                       26.845189
                      70                       27.044927
                      72                       27.167963
                      74                       27.252225
                      76                       27.310124
                      78                       27.303314
                      80                       27.181377
                      82                       26.960735
                      84                       26.753353
                      86                       26.700706
                      88                       26.866862
                      90                       27.200218
                      92                       27.584203
                      94                       27.892694
                      96                       28.027826
                      98                        27.96246
                     100                       27.757517
                     102                       27.514458
                     104                       27.320911
                     106                       27.258474
                     108                        27.40478
                     110                       27.768422
                     112                       28.246641
                     114                       28.674012
                     116                       28.878412
                     118                       28.714593
                     120                       28.159295
                     122                       27.468039
                     124                       27.159653

