        Frequency / MHz                RCS (square meters),Theta=theta,Phi=phi (4)/real
----------------------------------------------------------------------
                      10                       25.669733
                      12                       26.042291
                      14                         25.1903
                      16                       23.561708
                      18                       22.272915
                      20                       22.207611
                      22                       22.447917
                      24                       22.203501
                      26                       21.671896
                      28                       21.383773
                      30                       21.431877
                      32                       21.514525
                      34                       21.455049
                      36                       21.297133
                      38                       21.181429
                      40                       21.116272
                      42                       20.886473
                      44                       20.353259
                      46                       19.717867
                      48                       19.336018
                      50                       19.268886
                      52                       19.319542
                      54                       19.379267
                      56                       19.476554
                      58                       19.638215
                      60                       19.787902
                      62                       19.788145
                      64                       19.595895
                      66                       19.417163
                      68                       19.616385
                      70                        20.22713
                      72                       20.836661
                      74                       21.053859
                      76                       20.720422
                      78                       19.915545
                      80                       19.046032
                      82                       18.750548
                      84                       19.220223
                      86                       20.076594
                      88                       20.942672
                      90                        21.51509
                      92                       21.551986
                      94                       21.072351
                      96                       20.676112
                      98                       21.184433
                     100                       22.198551
                     102                       22.758768
                     104                       22.475441
                     106                       21.336072
                     108                       19.454348
                     110                         17.4086
                     112                       17.337751
                     114                       19.644741
                     116                       21.899664
                     118                       23.299515
                     120                       23.810948
                     122                       23.241652
                     124                       20.915765

